GameLevel ,TaskNo,Floor,RoomID,RoomName,Equipment,EquipmentType,HotSpotID,IsActiveZone,Rated Power(W),Voltage(V),Current(mA),Frequency(Hz),No_of_hours,Standby_power (W),Standby_hours,Number_of_fixtureUnits,Diversity_Factor(Reference),BrandName,ModelID,SerialNumber,YearOFManufacture,TemplateImage ,LogoImage,ProductImage1,ProductImage2,InwardGoodsInspectionReportImage,Total flux (Lumens),LuminousEfficacy(lm/w),CCT(oK),CRI,Length(m),Breadth(m),Height(m),SurfaceArea(Sq.m),OperatorID,C_28,C_29,C_30,C_31,C_32,C_33,C_34,C_35,C_36,C_37,C_38,C_39,C_40,C_41,C_42,C_43,C_44,C_45,C_46,C_47,C_48,C_49,C_50,C_51,C_52,C_53,C_54,C_55,C_56,C_57,C_58,C_59,C_60,C_61,C_62,C_63,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,C_72,C_73,C_74,C_75,C_76,C_77,C_78,C_79,C_80,C_81,C_82,C_83,C_84,C_85,C_86,C_87,C_88,C_89,C_90,C_91,C_92,C_93,C_94,C_95,C_96,C_97,C_98,C_99,C_100,EnergyPERday,NoOFdays ,AnnualEnergy 
L1,T11,GF,Z10,Reception area,Hanging lights,Lighting,L1_T11_GF_Z10_H024,TRUE,HSclickPopUpSpecImage,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,L1_T11_Formula1,L1_T11_Formula1,L1_T11_Formula1,BMSassetTracker+LSTM_inventoryPage,L1_T11_Formula1,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,NA,HSclickPopUpSpecImage,HSclickPopUpSpecImage,HSclickPopUpSpecImage,HSclickPopUpSpecImage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L1,T11,GF,Z11,Storage room,Hanging lights,Lighting,L1_T11_GF_Z11_H026,FALSE,HSclickPopUpSpecImage,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,L1_T11_Formula1,L1_T11_Formula1,L1_T11_Formula1,BMSassetTracker+LSTM_inventoryPage,L1_T11_Formula1,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,NA,HSclickPopUpSpecImage,HSclickPopUpSpecImage,HSclickPopUpSpecImage,HSclickPopUpSpecImage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L1,T11,GF,Z12,Corridor,Hanging lights,Lighting,L1_T11_GF_Z12_H027,FALSE,HSclickPopUpSpecImage,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,L1_T11_Formula1,L1_T11_Formula1,L1_T11_Formula1,BMSassetTracker+LSTM_inventoryPage,L1_T11_Formula1,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,NA,HSclickPopUpSpecImage,HSclickPopUpSpecImage,HSclickPopUpSpecImage,HSclickPopUpSpecImage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L1,T11,GF,Z13,Meeting room 3,Hanging lights,Lighting,L1_T11_GF_Z13_H028,FALSE,HSclickPopUpSpecImage,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,L1_T11_Formula1,L1_T11_Formula1,L1_T11_Formula1,BMSassetTracker+LSTM_inventoryPage,L1_T11_Formula1,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,NA,HSclickPopUpSpecImage,HSclickPopUpSpecImage,HSclickPopUpSpecImage,HSclickPopUpSpecImage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L1,T11,GF,Z14,Female toilet,Hanging Lights,Lighting,L1_T11_GF_Z14_H031,FALSE,HSclickPopUpSpecImage,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,L1_T11_Formula1,L1_T11_Formula1,L1_T11_Formula1,BMSassetTracker+LSTM_inventoryPage,L1_T11_Formula1,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,NA,HSclickPopUpSpecImage,HSclickPopUpSpecImage,HSclickPopUpSpecImage,HSclickPopUpSpecImage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L1,T11,GF,Z14,Female toilet,Can lights,Lighting,L1_T11_GF_Z14_H032,FALSE,HSclickPopUpSpecImage,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,L1_T11_Formula1,L1_T11_Formula1,L1_T11_Formula1,BMSassetTracker+LSTM_inventoryPage,L1_T11_Formula1,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,NA,HSclickPopUpSpecImage,HSclickPopUpSpecImage,HSclickPopUpSpecImage,HSclickPopUpSpecImage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L1,T11,GF,Z17,Corridor,Hanging lights,Lighting,L1_T11_GF_Z17_H035,FALSE,HSclickPopUpSpecImage,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,L1_T11_Formula1,L1_T11_Formula1,L1_T11_Formula1,BMSassetTracker+LSTM_inventoryPage,L1_T11_Formula1,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,NA,HSclickPopUpSpecImage,HSclickPopUpSpecImage,HSclickPopUpSpecImage,HSclickPopUpSpecImage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L1,T11,GF,Z15,Server room,Hanging lights,Lighting,L1_T11_GF_Z15_H041,FALSE,HSclickPopUpSpecImage,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,L1_T11_Formula1,L1_T11_Formula1,L1_T11_Formula1,BMSassetTracker+LSTM_inventoryPage,L1_T11_Formula1,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,NA,HSclickPopUpSpecImage,HSclickPopUpSpecImage,HSclickPopUpSpecImage,HSclickPopUpSpecImage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L1,T11,GF,Z16,Pantry,Hanging lights,Lighting,L1_T11_GF_Z16_H049,FALSE,HSclickPopUpSpecImage,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,L1_T11_Formula1,L1_T11_Formula1,L1_T11_Formula1,BMSassetTracker+LSTM_inventoryPage,L1_T11_Formula1,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,NA,HSclickPopUpSpecImage,HSclickPopUpSpecImage,HSclickPopUpSpecImage,HSclickPopUpSpecImage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L1,T11,GF,Z18,Gym,Hanging Lights,Lighting,L1_T11_GF_Z18_H053,FALSE,HSclickPopUpSpecImage,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,L1_T11_Formula1,L1_T11_Formula1,L1_T11_Formula1,BMSassetTracker+LSTM_inventoryPage,L1_T11_Formula1,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,NA,HSclickPopUpSpecImage,HSclickPopUpSpecImage,HSclickPopUpSpecImage,HSclickPopUpSpecImage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L1,T11,FF,Z01,Male toilet,Hanging Lights,Lighting,L1_T11_FF_Z01_H054,TRUE,HSclickPopUpSpecImage,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,L1_T11_Formula1,L1_T11_Formula1,L1_T11_Formula1,BMSassetTracker+LSTM_inventoryPage,L1_T11_Formula1,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,NA,HSclickPopUpSpecImage,HSclickPopUpSpecImage,HSclickPopUpSpecImage,HSclickPopUpSpecImage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L1,T11,FF,Z01,Male toilet,Can lights,Lighting,L1_T11_FF_Z01_H055,TRUE,HSclickPopUpSpecImage,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,L1_T11_Formula1,L1_T11_Formula1,L1_T11_Formula1,BMSassetTracker+LSTM_inventoryPage,L1_T11_Formula1,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,NA,HSclickPopUpSpecImage,HSclickPopUpSpecImage,HSclickPopUpSpecImage,HSclickPopUpSpecImage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
